subject,complexity
brandone_2009.1.1_successfulreaching8.923,complex
brandone_2009.1.1_successfulreaching8.916,complex
brandone_2009.1.1_successfulreaching8.913,complex
brandone_2009.1.1_successfulreaching8.911,complex
brandone_2009.1.1_successfulreaching8.906,complex
brandone_2009.1.1_successfulreaching8.914,complex
brandone_2009.1.1_successfulreaching8.910,complex
brandone_2009.1.1_successfulreaching8.920,complex
brandone_2009.1.1_successfulreaching8.905,complex
brandone_2009.1.1_successfulreaching8.926,complex
brandone_2009.1.1_successfulreaching8.904,complex
brandone_2009.1.1_successfulreaching8.924,complex
brandone_2009.1.1_successfulreaching8.907,complex
brandone_2009.1.1_successfulreaching8.919,complex
brandone_2009.1.1_successfulreaching8.909,complex
brandone_2009.1.1_successfulreaching8.912,complex
brandone_2009.1.1_successfulreaching8.922,complex
brandone_2009.1.1_successfulreaching8.915,complex
brandone_2009.1.1_successfulreaching8.921,complex
brandone_2009.1.1_successfulreaching8.908,complex
brandone_2009.1.1_successfulreaching8.901,complex
brandone_2009.1.1_successfulreaching8.903,complex
brandone_2009.1.1_successfulreaching8.917,complex
brandone_2009.1.1_successfulreaching10.51,complex
brandone_2009.1.1_successfulreaching10.57,complex
brandone_2009.1.1_successfulreaching10.37,complex
brandone_2009.1.1_successfulreaching10.54,complex
brandone_2009.1.1_successfulreaching10.52,complex
brandone_2009.1.1_successfulreaching10.46,complex
brandone_2009.1.1_successfulreaching10.33,complex
brandone_2009.1.1_successfulreaching10.74,complex
brandone_2009.1.1_successfulreaching10.43,complex
brandone_2009.1.1_successfulreaching10.30,complex
brandone_2009.1.1_successfulreaching10.44,complex
brandone_2009.1.1_successfulreaching10.75,complex
brandone_2009.1.1_successfulreaching10.22,complex
brandone_2009.1.1_successfulreaching10.32,complex
brandone_2009.1.1_successfulreaching10.38,complex
brandone_2009.1.1_successfulreaching10.34,complex
brandone_2009.1.1_successfulreaching10.31,complex
brandone_2009.1.1_successfulreaching10.39,complex
brandone_2009.1.1_successfulreaching10.26,complex
brandone_2009.1.1_successfulreaching10.55,complex
