subject,age
SS1649106438604,63.96
SS1649107163440,63.599999999999994
SS1649108043408,59.760000000000005
SS1649278493365,45.36
SS1649279512336,63.36
SS1649280109244,51.96
SS1649281069569,56.400000000000006
SS1649453606981,63.96
SS1649708928997,57.72
SS1650317226697,48.239999999999995
SS1650489080889,51.36
SS1650489821701,43.56
SS1650575269619,62.04
SS1651769551887,52.67999999999999
SS1651783185192,48.84
SS1653422857841,61.44
SS1653424973570,53.28
SS1654202991854,43.8
SS1657750552161,63.84
SS1657821464110,47.64
SS1657833414331,51.239999999999995
SS1657836642582,52.56
SS1658159461179,48
SS1658165045650,58.92
SS1658332695075,68.88
SS1658349449009,51
SS1658350299976,63.84
SS1659037444440,38.04
SS1659041262118,39.12
SS1659042744198,62.28
SS1659454156371,47.64
SS1659456204392,66.84
SS1659634413113,47.400000000000006
