subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_successfulreaching8.923,9,-0.02985296314968111,228.3,complex,2.580109355379009,1.9312500000000001,0.4833928534667932,7.4,0.6000000000000001,0.9978646270830466,-0.3658200301184413,-0.060298525424332367,infants,NA,NA
brandone_2009.1.1_successfulreaching8.916,10,0.10763066419236544,246.6,complex,3.2155006522226746,2.508641975308642,0.5663308389433281,8.3,1.4000000000000004,2.5863967746912855,-0.35460393329527096,-0.054680196694791336,infants,NA,NA
brandone_2009.1.1_successfulreaching8.913,7,1.7615456906315587,231.3,complex,3.7866431924155024,3.1333333333333337,0.656643328164538,8.100000000000001,1.8500000000000005,NA,-0.36563228102617384,-0.055289548980576864,infants,NA,NA
brandone_2009.1.1_successfulreaching8.911,11,0.9760099665757774,239.5,complex,3.3469886963258975,2.756,0.4629306633922403,11,2.3,2.448633223931532,-0.329116516290917,-0.0565608793084853,infants,NA,NA
brandone_2009.1.1_successfulreaching8.906,10,-0.08701137698962957,232.4,complex,3.0773365106858237,2.3333333333333335,0.41963679691170325,10.7,0.7999999999999998,2.1505059588572517,-0.32669837903210525,-0.07906485998115831,infants,NA,NA
brandone_2009.1.1_successfulreaching8.914,11,-0.35393145799298154,235.4,complex,4.806939428229429,3.9400000000000004,0.6242778478220037,15.4,2.75,4.344355481614268,-0.3386078146241831,-0.013141665674298891,infants,NA,NA
brandone_2009.1.1_successfulreaching8.910,11,0.19319122903085884,229.3,complex,2.754813968310746,2.2640000000000002,0.3430652513462947,8,2.05,2.2355697934039185,-0.30513607896525874,-0.06472734307932342,infants,NA,NA
brandone_2009.1.1_successfulreaching8.920,11,-0.158224005214894,232.4,complex,2.902891279014386,2.31,0.3553110500629604,8.3,2.6499999999999995,2.7867553129555747,-0.3041969086484052,-0.06883926159757159,infants,NA,NA
brandone_2009.1.1_successfulreaching8.905,7,0,232.4,complex,3.6968905853433096,3.2166666666666663,0.5396920562544978,9.1,2.95,NA,-0.3591275797595823,-0.058995914998163784,infants,NA,NA
brandone_2009.1.1_successfulreaching8.926,6,0.46134556650262093,236.4,complex,6.08917071529449,4.6080000000000005,0.6064911071010447,14.3,1.1000000000000005,NA,-0.33128110296887603,-0.08990031149939506,infants,NA,NA
brandone_2009.1.1_successfulreaching8.904,10,-0.916290731874155,238.4,complex,4.720287185236838,3.501234567901235,0.4622696916989286,15.400000000000002,4.1,4.481890358682842,-0.267307131614803,-0.06663642425018546,infants,NA,NA
brandone_2009.1.1_successfulreaching8.924,6,-0.287682072451781,241.5,complex,6.956148359544957,5.728,0.6134169629228358,15.999999999999998,5.299999999999999,NA,-0.3152970027653364,-0.10677074808410178,infants,NA,NA
brandone_2009.1.1_successfulreaching8.907,11,-0.40546510810816416,233.4,complex,5.539845565436719,4.01,0.46592477421671313,19.5,2.45,4.363925979307137,-0.22231045080338904,0.013990488379575436,infants,NA,NA
brandone_2009.1.1_successfulreaching8.919,11,-0.37351350830156216,232.4,complex,7.2592393234798065,5.728,0.5955077377752097,21.3,5,7.107889776650946,-0.23720035738447515,0.015193959802975138,infants,NA,NA
brandone_2009.1.1_successfulreaching8.909,11,-1.3769919684575769,236.4,complex,5.889925485286059,4.556,0.46857004656213674,18.2,4,NA,-0.21122623125626303,-0.05947019623211323,infants,NA,NA
brandone_2009.1.1_successfulreaching8.912,11,0.44731221804366506,231.3,complex,4.879025403591263,4.007999999999999,0.3770498766299276,12.599999999999998,3.8500000000000005,3.9687231160177747,-0.20920246526080252,1.4544418797031444e-4,infants,NA,NA
brandone_2009.1.1_successfulreaching8.922,11,-0.6097655716208945,251.6,complex,2.7849596047339715,1.9080000000000001,0.21194517539832355,10.399999999999999,1.5,1.9707944175588843,-0.2051207935624308,-0.0394674693927942,infants,NA,NA
brandone_2009.1.1_successfulreaching8.915,11,-0.6440144919823005,237.4,complex,4.928251887501964,3.7119999999999997,0.31370158418217464,15.1,2.5999999999999988,4.033286143098707,-0.16203612183282695,-0.03540163972637703,infants,NA,NA
brandone_2009.1.1_successfulreaching8.921,11,-0.09237332013101529,242.5,complex,6.547060409069097,4.28,0.411247513132481,22.1,3.0999999999999996,5.05682518619379,-0.16067297879309533,-0.07384572063038194,infants,NA,NA
brandone_2009.1.1_successfulreaching8.908,8,-0.30010459245033816,251.6,complex,8.212678931876933,6.7306122448979595,0.5034041376807228,22.2,10,6.412016502948758,-0.2143641603646969,-0.14022454140667376,infants,NA,NA
brandone_2009.1.1_successfulreaching8.901,11,-0.16282376108068686,244.5,complex,8.032053840014326,6.49,0.4046374730485806,25.2,6.449999999999998,5.646873995353513,-0.11164776838250137,-0.03756943437771473,infants,NA,NA
brandone_2009.1.1_successfulreaching8.903,7,0.7475606022837398,235.4,complex,12.785056381051538,10.716666666666667,0.5421225320587225,32.199999999999996,9.700000000000001,5.688649796286225,-0.15188958781596024,-0.15400501353250307,infants,NA,NA
