subject,complexity
SS1630946047579,simple
SS1630948678486,complex
SS1630948755198,complex
SS1630948818400,simple
SS1630949011055,simple
SS1630950295124,complex
SS1630950434896,simple
SS1630950810787,simple
SS1630951133808,simple
SS1630951290582,simple
SS1630951297610,simple
SS1630951339331,complex
SS1630951466070,complex
SS1630951471938,complex
SS1630951578437,complex
SS1630951767439,simple
SS1630951828892,complex
SS1630952161025,simple
SS1630952224427,simple
SS1630952271154,complex
SS1630952295180,complex
SS1630952322184,complex
SS1630952381393,complex
SS1630952435679,simple
SS1630952470116,complex
SS1630952524765,simple
SS1630952541828,simple
SS1630952617003,simple
SS1630952766318,complex
SS1630952800043,complex
SS1630952826677,complex
SS1630952867481,simple
SS1630953207559,simple
SS1630953441889,complex
SS1630953471980,simple
SS1630953494168,simple
SS1630953498093,simple
SS1630953505629,simple
SS1630953542990,simple
SS1630953554290,simple
SS1630953710776,simple
SS1630953802556,simple
SS1630953883201,simple
SS1630953940846,complex
SS1630953946267,simple
SS1630954072972,complex
SS1630954167514,complex
SS1630954313784,simple
SS1630954348988,complex
SS1630954375072,complex
SS1630954393348,complex
SS1630954481966,complex
SS1630954497385,complex
SS1630954527405,complex
SS1630954625278,complex
SS1630954717126,simple
SS1630954760267,complex
SS1630954762415,complex
SS1630954787275,complex
SS1630954828983,simple
SS1630954902838,complex
SS1630954979271,simple
SS1630955002012,complex
SS1630955017066,simple
SS1630955133458,simple
SS1630955255251,simple
SS1630955462809,simple
SS1630955550651,complex
SS1630955596798,simple
SS1630955814911,complex
SS1630955985076,simple
SS1630958865498,complex
SS1630945803732,simple
SS1630949437798,simple
SS1630950311863,complex
SS1630950615055,complex
SS1630950904931,complex
SS1630951077199,simple
SS1630951139571,complex
SS1630951192553,simple
SS1630951202004,simple
SS1630951342053,complex
SS1630951357889,simple
SS1630951687790,complex
SS1630951861361,complex
SS1630952092916,simple
SS1630952164635,complex
SS1630952197333,complex
SS1630952326222,simple
SS1630952417154,simple
SS1630952650695,complex
SS1630952651059,complex
SS1630952892883,simple
SS1630952933005,simple
SS1630953249512,complex
SS1630953415738,simple
SS1630953459504,complex
SS1630953554728,simple
SS1630953819807,simple
SS1630953879284,complex
SS1630953904498,simple
SS1630954064103,complex
SS1630954166127,simple
SS1630954238919,complex
SS1630954277601,complex
SS1630954327708,simple
SS1630954379939,complex
SS1630954479656,simple
SS1630954676290,complex
SS1630954820680,complex
SS1630954924244,simple
SS1630955275315,complex
SS1630955324434,complex
SS1630955346320,complex
SS1630955362456,complex
SS1630955712000,simple
SS1630955845054,complex
SS1630955887727,simple
SS1630955974344,simple
SS1630956108047,simple
SS1630961119566,simple
SS1630950429319,complex
SS1630950570403,complex
SS1630950873228,simple
SS1630951084066,complex
SS1630951168843,simple
SS1630951253791,complex
SS1630951368875,simple
SS1630951481721,complex
SS1630951583340,simple
SS1630951623475,complex
SS1630951807437,complex
SS1630951865586,complex
SS1630951964890,simple
SS1630951986199,complex
SS1630952175106,complex
SS1630952417185,complex
SS1630952448403,simple
SS1630952457080,complex
SS1630952510283,simple
SS1630952623030,complex
SS1630952689391,simple
SS1630952798224,simple
SS1630953163340,complex
SS1630953334692,complex
SS1630953442228,complex
SS1630953461861,simple
SS1630953517709,complex
SS1630953532068,complex
SS1630953553324,simple
SS1630953556646,simple
SS1630953575996,simple
SS1630953635529,simple
SS1630953667755,simple
SS1630953698602,complex
SS1630953769134,simple
SS1630953839030,complex
SS1630953891677,complex
SS1630953997814,complex
SS1630954111816,complex
SS1630954126310,simple
SS1630954150612,complex
SS1630954320000,simple
SS1630954339434,simple
SS1630954341338,complex
SS1630954406402,simple
SS1630954504336,complex
SS1630954505666,simple
SS1630954604629,complex
SS1630954642738,simple
SS1630954721348,complex
SS1630954726338,simple
SS1630954729160,simple
SS1630954799923,simple
SS1630954942940,complex
SS1630954975391,complex
SS1630955052262,simple
SS1630955140240,complex
SS1630955194667,complex
SS1630955209556,simple
SS1630955385712,simple
SS1630955391492,simple
SS1630955582815,simple
SS1630955737024,simple
SS1630955858861,simple
SS1630956004245,complex
