subject,age
brandone_2009.1.1_successfulreaching8.923,228.3
brandone_2009.1.1_successfulreaching8.916,246.6
brandone_2009.1.1_successfulreaching8.913,231.3
brandone_2009.1.1_successfulreaching8.911,239.5
brandone_2009.1.1_successfulreaching8.906,232.4
brandone_2009.1.1_successfulreaching8.914,235.4
brandone_2009.1.1_successfulreaching8.910,229.3
brandone_2009.1.1_successfulreaching8.920,232.4
brandone_2009.1.1_successfulreaching8.905,232.4
brandone_2009.1.1_successfulreaching8.926,236.4
brandone_2009.1.1_successfulreaching8.904,238.4
brandone_2009.1.1_successfulreaching8.924,241.5
brandone_2009.1.1_successfulreaching8.907,233.4
brandone_2009.1.1_successfulreaching8.919,232.4
brandone_2009.1.1_successfulreaching8.909,236.4
brandone_2009.1.1_successfulreaching8.912,231.3
brandone_2009.1.1_successfulreaching8.922,251.6
brandone_2009.1.1_successfulreaching8.915,237.4
brandone_2009.1.1_successfulreaching8.921,242.5
brandone_2009.1.1_successfulreaching8.908,251.6
brandone_2009.1.1_successfulreaching8.901,244.5
brandone_2009.1.1_successfulreaching8.903,235.4
brandone_2009.1.1_successfulreaching8.917,236.4
brandone_2009.1.1_successfulreaching10.51,282.8
brandone_2009.1.1_successfulreaching10.57,281
brandone_2009.1.1_successfulreaching10.37,283.1
brandone_2009.1.1_successfulreaching10.54,307.1
brandone_2009.1.1_successfulreaching10.52,283.1
brandone_2009.1.1_successfulreaching10.46,283.1
brandone_2009.1.1_successfulreaching10.33,277
brandone_2009.1.1_successfulreaching10.74,308.4
brandone_2009.1.1_successfulreaching10.43,281.3
brandone_2009.1.1_successfulreaching10.30,281
brandone_2009.1.1_successfulreaching10.44,279.7
brandone_2009.1.1_successfulreaching10.75,308.1
brandone_2009.1.1_successfulreaching10.22,280
brandone_2009.1.1_successfulreaching10.32,275.8
brandone_2009.1.1_successfulreaching10.38,279.7
brandone_2009.1.1_successfulreaching10.34,308.4
brandone_2009.1.1_successfulreaching10.31,307.4
brandone_2009.1.1_successfulreaching10.39,304.4
brandone_2009.1.1_successfulreaching10.26,252.3
brandone_2009.1.1_successfulreaching10.55,306.2
brandone_2009.1.1_successfulreaching10.53,307.1
brandone_2009.1.1_successfulreaching10.61,309.9
brandone_2009.1.1_successfulreaching10.40,279.1
brandone_2009.1.1_successfulreaching10.42,309.3
brandone_2009.1.1_successfulreaching12.49,371.1
brandone_2009.1.1_successfulreaching12.3,365.6
brandone_2009.1.1_successfulreaching12.8,340.9
brandone_2009.1.1_successfulreaching12.9,341.8
brandone_2009.1.1_successfulreaching12.15,366.8
brandone_2009.1.1_successfulreaching12.17,341.2
brandone_2009.1.1_successfulreaching12.56,343.4
brandone_2009.1.1_successfulreaching12.63,368.3
brandone_2009.1.1_successfulreaching12.41,340.9
brandone_2009.1.1_successfulreaching12.67,371.7
brandone_2009.1.1_successfulreaching12.70,368.9
brandone_2009.1.1_successfulreaching12.5,343.7
brandone_2009.1.1_successfulreaching12.64,343.1
brandone_2009.1.1_successfulreaching12.12,372
brandone_2009.1.1_successfulreaching12.65,367.1
brandone_2009.1.1_successfulreaching12.71,367.7
brandone_2009.1.1_successfulreaching12.14,366.8
brandone_2009.1.1_successfulreaching12.6,341.2
brandone_2009.1.1_successfulreaching12.66,370.2
brandone_2009.1.1_successfulreaching12.10,341.2
brandone_2009.1.1_successfulreaching12.18,335.8
brandone_2009.1.1_successfulreaching12.19,366.5
brandone_2009.1.1_failedreaching8.815,241.5
brandone_2009.1.1_failedreaching8.801,249.6
brandone_2009.1.1_failedreaching8.803,261.8
brandone_2009.1.1_failedreaching8.810,237.4
brandone_2009.1.1_failedreaching8.816,248.6
brandone_2009.1.1_failedreaching8.827,251.6
brandone_2009.1.1_failedreaching8.817,231.3
brandone_2009.1.1_failedreaching8.806,257.7
brandone_2009.1.1_failedreaching8.802,256.7
brandone_2009.1.1_failedreaching8.804,244.5
brandone_2009.1.1_failedreaching8.824,242.5
brandone_2009.1.1_failedreaching8.813,252.7
brandone_2009.1.1_failedreaching8.812,252.7
brandone_2009.1.1_failedreaching8.811,228.3
brandone_2009.1.1_failedreaching8.808,237.4
brandone_2009.1.1_failedreaching8.805,242.5
brandone_2009.1.1_failedreaching8.818,248.6
brandone_2009.1.1_failedreaching8.819,246.6
brandone_2009.1.1_failedreaching8.809,236.4
brandone_2009.1.1_failedreaching8.823,237.4
brandone_2009.1.1_failedreaching8.814,240.5
brandone_2009.1.1_failedreaching8.820,240.5
brandone_2009.1.1_failedreaching8.825,236.4
brandone_2009.1.1_failedreaching10.318,295.3
brandone_2009.1.1_failedreaching10.316,296.3
brandone_2009.1.1_failedreaching10.319,297.3
brandone_2009.1.1_failedreaching10.325,318.6
brandone_2009.1.1_failedreaching10.305,292.2
brandone_2009.1.1_failedreaching10.320,317.5
brandone_2009.1.1_failedreaching10.323,313.5
brandone_2009.1.1_failedreaching10.307,292.2
brandone_2009.1.1_failedreaching10.308,301.4
brandone_2009.1.1_failedreaching10.301,297.3
brandone_2009.1.1_failedreaching10.324,289.2
brandone_2009.1.1_failedreaching10.312,299.3
brandone_2009.1.1_failedreaching10.313,311.5
brandone_2009.1.1_failedreaching10.304,290.2
brandone_2009.1.1_failedreaching10.317,314.4
brandone_2009.1.1_failedreaching10.302,298.3
brandone_2009.1.1_failedreaching10.315,309.5
brandone_2009.1.1_failedreaching10.311,304.4
brandone_2009.1.1_failedreaching10.306,296.3
brandone_2009.1.1_failedreaching10.303,315.6
brandone_2009.1.1_failedreaching12.223,350.1
brandone_2009.1.1_failedreaching12.209,355.1
brandone_2009.1.1_failedreaching12.232,355.1
brandone_2009.1.1_failedreaching12.204,377.5
brandone_2009.1.1_failedreaching12.215,376.4
brandone_2009.1.1_failedreaching12.207,366.3
brandone_2009.1.1_failedreaching12.221,357.2
brandone_2009.1.1_failedreaching12.206,361.2
brandone_2009.1.1_failedreaching12.230,364.3
brandone_2009.1.1_failedreaching12.201,357.2
brandone_2009.1.1_failedreaching12.202,364.3
brandone_2009.1.1_failedreaching12.218,374.4
brandone_2009.1.1_failedreaching12.213,356.1
brandone_2009.1.1_failedreaching12.210,377.5
brandone_2009.1.1_failedreaching12.229,357.2
brandone_2009.1.1_failedreaching12.228,368.3
brandone_2009.1.1_failedreaching12.227,357.2
brandone_2009.1.1_failedreaching12.219,361.2
brandone_2009.1.1_failedreaching12.203,364.3
brandone_2009.1.1_failedreaching12.234,352.1
brandone_2009.1.1_control10.109,282.2
brandone_2009.1.1_control10.169,308.1
brandone_2009.1.1_control10.123,304.7
brandone_2009.1.1_control10.177,304.4
brandone_2009.1.1_control10.176,304.4
brandone_2009.1.1_control10.124,277.3
brandone_2009.1.1_control10.126,305.6
brandone_2009.1.1_control10.128,282.8
brandone_2009.1.1_control10.114,307.1
brandone_2009.1.1_control10.106,280.7
brandone_2009.1.1_control10.173,308.7
brandone_2009.1.1_control10.113,305.6
brandone_2009.1.1_control10.119,277.3
brandone_2009.1.1_control10.116,280.7
brandone_2009.1.1_control10.105,309.9
brandone_2009.1.1_control10.175,306.2
brandone_2009.1.1_control10.117,280
brandone_2009.1.1_control10.121,281.9
brandone_2009.1.1_control10.122,281.6
brandone_2009.1.1_control10.149,306.5
brandone_2009.1.1_control10.104,281
brandone_2009.1.1_control10.174,308.1
brandone_2009.1.1_control12.139,340.6
brandone_2009.1.1_control12.165,341.8
brandone_2009.1.1_control12.147,343.4
brandone_2009.1.1_control12.154,342.1
brandone_2009.1.1_control12.157,368.6
brandone_2009.1.1_control12.140,343.4
brandone_2009.1.1_control12.142,341.8
brandone_2009.1.1_control12.143,369.5
brandone_2009.1.1_control12.159,367.7
brandone_2009.1.1_control12.158,339.1
brandone_2009.1.1_control12.130,341.8
brandone_2009.1.1_control12.103,371.1
brandone_2009.1.1_control12.156,369.8
brandone_2009.1.1_control12.144,367.4
brandone_2009.1.1_control12.162,368.3
brandone_2009.1.1_control12.163,340.9
brandone_2009.1.1_control12.150,340.6
brandone_2009.1.1_control12.146,367.7
brandone_2009.1.1_control12.168,338.5
brandone_2009.1.1_control12.58,340.3
brandone_2009.1.1_control12.153,340.6
brandone_2009.1.1_control12.135,369.8
brandone_2009.1.1_control12.131,340
brandone_2009.1.1_control12.145,368.6
choi_2018.1.1_twoobject.1,130.8
choi_2018.1.1_twoobject.2,89.9
choi_2018.1.1_twoobject.3,81.9
choi_2018.1.1_twoobject.4,111.3
choi_2018.1.1_twoobject.5,99.3
choi_2018.1.1_twoobject.6,85.9
choi_2018.1.1_twoobject.7,109.3
choi_2018.1.1_twoobject.8,112.3
choi_2018.1.1_twoobject.9,89.9
choi_2018.1.1_twoobject.10,97.3
choi_2018.1.1_twoobject.11,113.3
choi_2018.1.1_twoobject.12,114.3
choi_2018.1.1_twoobject.13,109.3
choi_2018.1.1_twoobject.14,109.3
choi_2018.1.1_twoobject.15,103.3
choi_2018.1.1_twoobject.16,77.9
choi_2018.1.1_oneobject.17,119.3
choi_2018.1.1_oneobject.18,83.9
choi_2018.1.1_oneobject.19,96.3
choi_2018.1.1_oneobject.20,117.3
choi_2018.1.1_oneobject.21,75.9
choi_2018.1.1_oneobject.22,111.3
choi_2018.1.1_oneobject.23,89.9
choi_2018.1.1_oneobject.24,127.8
choi_2018.1.1_oneobject.25,84.9
choi_2018.1.1_oneobject.26,118.3
choi_2018.1.1_oneobject.27,123.8
choi_2018.1.1_oneobject.28,92.3
choi_2018.1.1_oneobject.29,111.3
choi_2018.1.1_oneobject.30,92.3
choi_2018.1.1_oneobject.31,75.9
choi_2018.1.1_oneobject.32,92.3
choi_2018.1.1_hidden.33,85.9
choi_2018.1.1_hidden.34,92.3
choi_2018.1.1_hidden.35,79.9
choi_2018.1.1_hidden.36,75.9
choi_2018.1.1_hidden.37,119.3
choi_2018.1.1_hidden.38,84.9
choi_2018.1.1_hidden.39,113.3
choi_2018.1.1_hidden.40,117.3
choi_2018.1.1_hidden.41,86.9
choi_2018.1.1_hidden.42,75.9
choi_2018.1.1_hidden.43,121.8
choi_2018.1.1_hidden.44,95.3
choi_2018.1.1_hidden.45,110.3
choi_2018.1.1_hidden.46,95.3
choi_2018.1.1_hidden.47,120.3
choi_2018.1.1_hidden.48,110.3
chuey_2021.4.4_online.P2-,293.2
chuey_2021.4.4_online.P3-,300.3
chuey_2021.4.4_online.P7a-,324.7
chuey_2021.4.4_online.P8-,324.7
chuey_2021.4.4_online.P9-,305.4
chuey_2021.4.4_online.P10,286.1
chuey_2021.4.4_online.P4-,316.6
chuey_2021.4.4_online.P5-,319.6
chuey_2021.4.4_online.P6-,289.2
chuey_2021.4.4_online.P7-,322.7
chuey_2021.4.4_online.P8-,224.2
chuey_2021.4.4_online.P9-,345
chuey_2021.4.4_online.P12,352.1
chuey_2021.4.4_online.P13,321.6
chuey_2021.4.4_online.P14,328.8
chuey_2021.4.4_online.P15,373.4
chuey_2021.4.4_online.P16,322.7
chuey_2021.4.4_online.P17,280
chuey_2021.4.4_online.P18,398.8
chuey_2021.4.4_online.P19,329.8
chuey_2021.4.4_online.P20,255.7
chuey_2021.4.4_online.P21,330.8
chuey_2021.4.4_online.P22,350.1
chuey_2021.4.4_online.P23,369.3
chuey_2021.4.4_online.P24,351.1
chuey_2021.4.4_online.P26,211.1
chuey_2021.4.4_online.P27,328.8
chuey_2021.4.4_online.P28,304.4
chuey_2021.4.4_online.P29,326.7
chuey_2021.4.4_online.P30,217.1
gerson_2014a.1.1_active.70,94.4
gerson_2014a.1.1_active.73,106.5
gerson_2014a.1.1_active.75,117.8
gerson_2014a.1.1_active.82,98.3
gerson_2014a.1.1_active.84,106.5
gerson_2014a.1.1_active.88,114.8
gerson_2014a.1.1_active.89,118.7
gerson_2014a.1.1_active.93,105.6
gerson_2014a.1.1_active.94,101.4
gerson_2014a.1.1_active.98,101.4
gerson_2014a.1.1_active.99,104.4
gerson_2014a.1.1_active.103,107.5
gerson_2014a.1.1_active.105,121.8
gerson_2014a.1.1_active.114,112.6
gerson_2014a.1.1_active.115,108.7
gerson_2014a.1.1_active.118,103.5
gerson_2014a.1.1_active.120,91.3
gerson_2014a.1.1_active.122,94.4
gerson_2014a.1.1_active.131,121.8
gerson_2014a.1.1_active.139,99.5
gerson_2014a.1.1_active.190,91.3
gerson_2014a.1.1_active.197,113.5
gerson_2014a.1.1_active.200,103.5
gerson_2014a.1.1_active.228,94.4
gerson_2014a.1.1_observational.112,119.6
gerson_2014a.1.1_observational.119,100.5
gerson_2014a.1.1_observational.124,94.4
gerson_2014a.1.1_observational.126,94.4
gerson_2014a.1.1_observational.137,95.3
gerson_2014a.1.1_observational.138,94.4
gerson_2014a.1.1_observational.139,96.5
gerson_2014a.1.1_observational.140,121.8
gerson_2014a.1.1_observational.146,119.6
gerson_2014a.1.1_observational.149,104.4
gerson_2014a.1.1_observational.150,97.4
gerson_2014a.1.1_observational.151,106.5
gerson_2014a.1.1_observational.152,119.6
gerson_2014a.1.1_observational.160,110.5
gerson_2014a.1.1_observational.170,98.3
gerson_2014a.1.1_observational.179,110.5
gerson_2014a.1.1_observational.202,99.5
gerson_2014a.1.1_observational.218,119.6
gerson_2014a.1.1_observational.219,106.5
gerson_2014a.1.1_observational.220,110.5
gerson_2014a.1.1_observational.223,105.6
gerson_2014a.1.1_observational.232,116.6
gerson_2014a.1.1_observational.233,91.3
gerson_2014a.1.1_observational.234,121.8
gerson_2014a.1.1_control.168,108.7
gerson_2014a.1.1_control.169,104.4
gerson_2014a.1.1_control.171,108.7
gerson_2014a.1.1_control.174,91.3
gerson_2014a.1.1_control.175,106.5
gerson_2014a.1.1_control.178,100.5
gerson_2014a.1.1_control.180,94.4
gerson_2014a.1.1_control.181,92.2
gerson_2014a.1.1_control.182,95.3
gerson_2014a.1.1_control.183,100.5
gerson_2014a.1.1_control.186,103.5
gerson_2014a.1.1_control.187,110.5
gerson_2014a.1.1_control.189,120.8
gerson_2014a.1.1_control.191,100.5
gerson_2014a.1.1_control.193,118.7
gerson_2014a.1.1_control.194,107.5
gerson_2014a.1.1_control.196,104.4
gerson_2014a.1.1_control.201,109.6
gerson_2014a.1.1_control.204,103.5
gerson_2014a.1.1_control.205,104.4
gerson_2014a.1.1_control.210,108.7
gerson_2014a.1.1_control.211,100.5
gerson_2014a.1.1_control.212,104.4
gerson_2014a.1.1_control.213,114.8
gerson_2014b.1.1_active.32,106.5
gerson_2014b.1.1_active.67,98.3
gerson_2014b.1.1_active.69,119.6
gerson_2014b.1.1_active.72,104.4
gerson_2014b.1.1_active.76,116.6
gerson_2014b.1.1_active.77,105.6
gerson_2014b.1.1_active.78,96.5
gerson_2014b.1.1_active.79,106.5
gerson_2014b.1.1_active.81,116.6
gerson_2014b.1.1_active.86,125.7
gerson_2014b.1.1_active.88,113.5
gerson_2014b.1.1_active.91,119.6
gerson_2014b.1.1_active.92,104.4
gerson_2014b.1.1_active.94,105.6
gerson_2014b.1.1_active.95,111.7
gerson_2014b.1.1_active.102,91.3
gerson_2014b.1.1_active.144,94.4
gerson_2014b.1.1_active.143,120.8
gerson_2014b.1.1_active.146,110.5
gerson_2014b.1.1_active.147,109.6
gerson_2014b.1.1_active.148,97.4
gerson_2014b.1.1_active.151,93.5
gerson_2014b.1.1_active.159,119.6
gerson_2014b.1.1_active.162,107.5
gerson_2014b.1.1_active.165,107.5
gerson_2014b.1.1_active.166,95.3
gerson_2014b.1.1_active.167,102.6
gerson_2014b.1.1_active.169,107.5
gerson_2014b.1.1_active.171,94.4
gerson_2014b.1.1_active.173,121.8
gerson_2014b.1.1_observational.19,104.4
gerson_2014b.1.1_observational.27,104.4
gerson_2014b.1.1_observational.25,119.6
gerson_2014b.1.1_observational.12,97.4
gerson_2014b.1.1_observational.3,118.7
gerson_2014b.1.1_observational.10,105.6
gerson_2014b.1.1_observational.30,125.7
gerson_2014b.1.1_observational.21,104.4
gerson_2014b.1.1_observational.33,115.7
gerson_2014b.1.1_observational.39,98.3
gerson_2014b.1.1_observational.16,118.7
gerson_2014b.1.1_observational.13,119.6
gerson_2014b.1.1_observational.11,100.5
gerson_2014b.1.1_observational.18,97.4
gerson_2014b.1.1_observational.28,111.7
gerson_2014b.1.1_observational.40,95.3
gerson_2014b.1.1_observational.5,92.2
gerson_2014b.1.1_observational.22,119.6
gerson_2014b.1.1_observational.2,111.7
gerson_2014b.1.1_observational.24,98.3
gerson_2014b.1.1_observational.14,96.5
gerson_2014b.1.1_observational.34,99.5
gerson_2014b.1.1_observational.26,113.5
gerson_2014b.1.1_observational.35,114.8
gerson_2014b.1.1_observational.23,95.3
gerson_2014b.1.1_observational.20,93.5
gerson_2014b.1.1_observational.7,97.4
gerson_2014b.1.1_observational.36,113.5
gerson_2014b.1.1_observational.9,95.3
gerson_2014b.1.1_observational.38,104.4
gerson_2014b.2.2.105,121.8
gerson_2014b.2.2.125,109.6
gerson_2014b.2.2.97,118.7
gerson_2014b.2.2.118,115.7
gerson_2014b.2.2.46,122.7
gerson_2014b.2.2.38,110.5
gerson_2014b.2.2.22,116.6
gerson_2014b.2.2.115,109.6
gerson_2014b.2.2.106,113.5
gerson_2014b.2.2.40,107.5
gerson_2014b.2.2.123,112.6
gerson_2014b.2.2.99,106.5
gerson_2014b.2.2.110,118.7
gerson_2014b.2.2.107,118.7
gerson_2014b.2.2.129,111.7
gerson_2014b.2.2.132,121.8
gerson_2014b.2.2.131,108.7
gerson_2014b.2.2.29,109.6
gerson_2014b.2.2.122,114.8
gerson_2014b.2.2.43,94.4
gerson_2014b.2.2.137,95.3
gerson_2014b.2.2.134,102.6
gerson_2014b.2.2.160,116.6
gerson_2014b.2.2.141,109.6
gerson_2014b.2.2.120,119.6
gerson_2014b.2.2.104,108.7
gerson_2014b.2.2.68,107.5
gerson_2014b.2.2.18,121.8
gerson_2014b.2.2.163,111.7
gerson_2014b.2.2.87,125.7
hespos_2009.1.1_habtosolid.41,162.2
hespos_2009.1.1_habtosolid.22,161.2
hespos_2009.1.1_habtosolid.39,165.2
hespos_2009.1.1_habtosolid.46,154.2
hespos_2009.1.1_habtosolid.10,140.8
hespos_2009.1.1_habtosolid.15,168.2
hespos_2009.1.1_habtosolid.42,147.8
hespos_2009.1.1_habtosolid.44,141.8
hespos_2009.1.1_habtosolid.29,158.2
hespos_2009.1.1_habtosolid.36,164.2
hespos_2009.1.1_habtosolid.43,144.8
hespos_2009.1.1_habtosolid.37,142.8
hespos_2009.1.1_habtosolid.12,162.2
hespos_2009.1.1_habtosolid.19,144.8
hespos_2009.1.1_habtosolid.27,158.2
hespos_2009.1.1_habtosolid.21,139.8
hespos_2009.2.2_habtosolid.44,163.2
hespos_2009.2.2_habtosolid.11,164.2
hespos_2009.2.2_habtosolid.15,137.8
hespos_2009.2.2_habtosolid.46,140.8
hespos_2009.2.2_habtosolid.47,140.8
hespos_2009.2.2_habtosolid.50,144.8
hespos_2009.2.2_habtosolid.29,152.2
hespos_2009.2.2_habtosolid.4,156.2
hespos_2009.2.2_habtosolid.10,154.2
hespos_2009.2.2_habtosolid.18,152.2
hespos_2009.2.2_habtosolid.27,153.2
hespos_2009.2.2_habtosolid.16,139.8
hespos_2009.2.2_habtosolid.26,147.8
hespos_2009.2.2_habtosolid.36,146.8
hespos_2009.2.2_habtosolid.39,154.2
liu_2017a.1.1.E1_1,191.8
liu_2017a.1.1.E1_10,170.5
liu_2017a.1.1.E1_11,183.6
liu_2017a.1.1.E1_12,182.6
liu_2017a.1.1.E1_13,189.7
liu_2017a.1.1.E1_14,184.7
liu_2017a.1.1.E1_15,188.7
liu_2017a.1.1.E1_16,186.7
liu_2017a.1.1.E1_17,172.5
liu_2017a.1.1.E1_18,190.8
liu_2017a.1.1.E1_19,172.5
liu_2017a.1.1.E1_2,182.6
liu_2017a.1.1.E1_20,178.6
liu_2017a.1.1.E1_3,185.7
liu_2017a.1.1.E1_4,179.6
liu_2017a.1.1.E1_5,175.5
liu_2017a.1.1.E1_6,172.5
liu_2017a.1.1.E1_7,169.5
liu_2017a.1.1.E1_8,183.6
liu_2017a.1.1.E1_9,181.6
liu_2017a.2.2.E2_1,184.7
liu_2017a.2.2.E2_10,177.6
liu_2017a.2.2.E2_11,179.6
liu_2017a.2.2.E2_12,193.8
liu_2017a.2.2.E2_13,193.8
liu_2017a.2.2.E2_14,179.6
liu_2017a.2.2.E2_15,178.6
liu_2017a.2.2.E2_16,180.6
liu_2017a.2.2.E2_17,183.6
liu_2017a.2.2.E2_18,190.8
liu_2017a.2.2.E2_19,180.6
liu_2017a.2.2.E2_2,193.8
liu_2017a.2.2.E2_20,180.6
liu_2017a.2.2.E2_3,173.5
liu_2017a.2.2.E2_4,174.5
liu_2017a.2.2.E2_5,181.6
liu_2017a.2.2.E2_6,196.9
liu_2017a.2.2.E2_7,194.8
liu_2017a.2.2.E2_8,193.8
liu_2017a.2.2.E2_9,202.9
liu_2017a.3.3.E3_1,173.5
liu_2017a.3.3.E3_10,183.6
liu_2017a.3.3.E3_11,170.5
liu_2017a.3.3.E3_12,185.7
liu_2017a.3.3.E3_13,170.5
liu_2017a.3.3.E3_14,174.5
liu_2017a.3.3.E3_15,182.6
liu_2017a.3.3.E3_16,164.4
liu_2017a.3.3.E3_17,180.6
liu_2017a.3.3.E3_18,174.5
liu_2017a.3.3.E3_19,176.6
liu_2017a.3.3.E3_2,186.7
liu_2017a.3.3.E3_20,179.6
liu_2017a.3.3.E3_3,169.5
liu_2017a.3.3.E3_4,181.6
liu_2017a.3.3.E3_5,182.6
liu_2017a.3.3.E3_6,177.6
liu_2017a.3.3.E3_7,184.7
liu_2017a.3.3.E3_8,178.6
liu_2017a.3.3.E3_9,179.6
liu_2017b.1.1.S1_18,287
liu_2017b.1.1.S1_16,293.1
liu_2017b.1.1.S1_3,295.3
liu_2017b.1.1.S1_17,296.2
liu_2017b.1.1.S1_11,298.3
liu_2017b.1.1.S1_8,298.3
liu_2017b.1.1.S1_15,300.4
liu_2017b.1.1.S1_4,300.4
liu_2017b.1.1.S1_23,303.5
liu_2017b.1.1.S1_13,309.6
liu_2017b.1.1.S1_22,317.5
liu_2017b.1.1.S1_1,319.6
liu_2017b.1.1.S1_2,292.2
liu_2017b.1.1.S1_24,294.4
liu_2017b.1.1.S1_6,296.2
liu_2017b.1.1.S1_10,301.4
liu_2017b.1.1.S1_12,301.4
liu_2017b.1.1.S1_7,301.4
liu_2017b.1.1.S1_14,303.5
liu_2017b.1.1.S1_21,306.5
liu_2017b.1.1.S1_5,307.4
liu_2017b.1.1.S1_19,312.6
liu_2017b.1.1.S1_9,312.6
liu_2017b.1.1.S1_20,320.5
liu_2017b.2.2.S2_14,288.3
liu_2017b.2.2.S2_18,295.3
liu_2017b.2.2.S2_9,296.2
liu_2017b.2.2.S2_23,297.4
liu_2017b.2.2.S2_1,298.3
liu_2017b.2.2.S2_22,300.4
liu_2017b.2.2.S2_12,301.4
liu_2017b.2.2.S2_17,301.4
liu_2017b.2.2.S2_10,304.4
liu_2017b.2.2.S2_8,304.4
liu_2017b.2.2.S2_4,309.6
liu_2017b.2.2.S2_5,314.4
liu_2017b.2.2.S2_20,288.3
liu_2017b.2.2.S2_11,293.1
liu_2017b.2.2.S2_24,296.2
liu_2017b.2.2.S2_16,297.4
liu_2017b.2.2.S2_6,298.3
liu_2017b.2.2.S2_7,298.3
liu_2017b.2.2.S2_13,299.2
liu_2017b.2.2.S2_2,299.2
liu_2017b.2.2.S2_3,302.3
liu_2017b.2.2.S2_21,307.4
liu_2017b.2.2.S2_15,310.5
liu_2017b.2.2.S2_19,317.5
liu_2017b.3.3.S3_2,300.4
liu_2017b.3.3.S3_6,310.5
liu_2017b.3.3.S3_11,313.5
liu_2017b.3.3.S3_12,313.5
liu_2017b.3.3.S3_13,314.4
liu_2017b.3.3.S3_15,294.4
liu_2017b.3.3.S3_16,306.5
liu_2017b.3.3.S3_17,294.4
liu_2017b.3.3.S3_19,318.7
liu_2017b.3.3.S3_20,317.5
liu_2017b.3.3.S3_22,319.6
liu_2017b.3.3.S3_24,299.2
liu_2017b.3.3.S3_25,304.4
liu_2017b.3.3.S3_29,294.4
liu_2017b.3.3.S3_30,302.3
liu_2017b.3.3.S3_32,296.2
liu_2017b.3.3.S3_1,296.2
liu_2017b.3.3.S3_3,309.6
liu_2017b.3.3.S3_4,300.4
liu_2017b.3.3.S3_5,309.6
liu_2017b.3.3.S3_7,292.2
liu_2017b.3.3.S3_8,307.4
liu_2017b.3.3.S3_9,311.4
liu_2017b.3.3.S3_10,297.4
liu_2017b.3.3.S3_14,312.6
liu_2017b.3.3.S3_18,315.7
liu_2017b.3.3.S3_21,302.3
liu_2017b.3.3.S3_23,302.3
liu_2017b.3.3.S3_26,317.5
liu_2017b.3.3.S3_27,314.4
liu_2017b.3.3.S3_28,291.3
liu_2017b.3.3.S3_31,292.2
liu_2019.3.3_experimental.S1_1,122
liu_2019.3.3_experimental.S1_10,91
liu_2019.3.3_experimental.S1_11,113
